web_id	cat	name_zh	추출코드	매칭행수	최저가	최고가	대표SKU
488598	작업전극	标准玻碳电极		0	0	0	
3643918	작업전극	阵列工作电极		0	0	0	
479900	작업전극	金盘工作电极		0	0	0	
488984	작업전극	铂盘工作电极		0	0	0	
489000	작업전극	L型工作电极		0	0	0	
488997	작업전극	T型工作电极		0	0	0	
479894	작업전극	电镜工作电极		0	0	0	
479895	작업전극	磁力工作电极		0	0	0	
479896	작업전극	多功能组合工作电极		0	0	0	
479897	작업전극	碳糊电极（粉末样品）		0	0	0	
489401	작업전극	简单电极架		0	0	0	
479899	작업전극	电极烘干支架		0	0	0	
489727	기준전극	氯化银电极-单盐桥		0	0	0	
489739	기준전극	氯化银电极-双盐桥		0	0	0	
489683	기준전극	银-银离子电极		0	0	0	
489826	기준전극	饱和甘汞电极（SCE）		0	0	0	
489907	기준전극	氧化汞电极		0	0	0	
489876	기준전극	硫酸亚汞电极		0	0	0	
489942	기준전극	标准氢参比电极		0	0	0	
489935	기준전극	砂芯盐桥		0	0	0	
489918	기준전극	鲁金毛细管-盐桥		0	0	0	
490054	상대전극	铂片电极		0	0	0	
490061	상대전극	铂网电极		0	0	0	
490078	상대전극	铂丝电极		0	0	0	
490093	상대전극	铂柱电极		0	0	0	
490120	상대전극	螺旋金丝对电极		0	0	0	
490114	상대전극	螺旋铂丝电极		0	0	0	
490128	상대전극	黄金片对电极		0	0	0	
490140	상대전극	带盐桥铂丝电极		0	0	0	
490147	상대전극	石墨棒电极		0	0	0	
491384	회전전극	旋转圆盘电极-RDE外螺纹		0	0	0	
491391	회전전극	旋转圆盘/环盘电极滴涂支架		0	0	0	
491381	회전전극	旋转环盘电极-RRDE		0	0	0	
491371	회전전극	旋转圆盘电极-RDE内螺纹		0	0	0	
491369	회전전극	旋转圆盘电极-RRDE-3A		0	0	0	
491366	회전전극	旋转环盘电极-RRDE-3A		0	0	0	
491360	회전전극	旋转银-银离子电极		0	0	0	
491358	회전전극	电镜旋转圆盘电极-RDE外螺纹		0	0	0	
491348	회전전극	耐高温旋转圆盘电极		0	0	0	
491343	회전전극	电镜旋转圆盘电极		0	0	0	
941476	전극클램프	黄金电极夹，盘状金丝电极夹		0	0	0	
490901	전극클램프	铂电极夹-PTFE		0	0	0	
490889	전극클램프	玻碳电极夹		0	0	0	
490867	전극클램프	不锈钢电极夹（四氟外壳）		0	0	0	
490850	전극클램프	钛电极夹		0	0	0	
490792	전극클램프	不锈钢电极夹		0	0	0	
490746	전극클램프	玻碳片（石墨片）电极夹		0	0	0	
490708	전극클램프	加厚样片电极夹		0	0	0	
490698	전극클램프	铂电极夹-PEEK		0	0	0	
490671	전극클램프	样片支持体		0	0	0	
498768	전극클램프	定制样片夹		0	0	0	
313739	리튬전지in-situ	基础锂电池测试池（两电极）		0	0	0	
313757	리튬전지in-situ	基础锂电池测试池（三电极）		0	0	0	
313783	리튬전지in-situ	压力电池评价测试池（三电极）		0	0	0	
495795	리튬전지in-situ	压力电池评价测试池（两电极）		0	0	0	
313791	리튬전지in-situ	推进式压力电池测试池		0	0	0	
313797	리튬전지in-situ	原位电池模拟观测池（可调节扭力枝晶）		0	0	0	
495367	리튬전지in-situ	原位锂电池模拟观测池（锂枝晶）		0	0	0	
5925041	리튬전지in-situ	固态电池夹具		0	0	0	
968940	리튬전지in-situ	原位红外锂电池测试池		0	0	0	
608608	리튬전지in-situ	世伟洛克式电池测试池		0	0	0	
495838	리튬전지in-situ	原位XRD锂电测试池-两电极		0	0	0	
495807	리튬전지in-situ	原位XRD锂电池测试池（三电极）		0	0	0	
495657	리튬전지in-situ	原位拉曼锂电测试池-两电极体系		0	0	0	
